_id,doc_id,interaction_id,doc_title,doc_position,doc_page_viewed,createdAt,updatedAt,__v
65ed93b8b6ec4550d193155b,WsAkANfJ91IJ,dbc365d9-2f4c-4183-a4df-58fd7981982c,High blood pressure (hypertension) - Causes - NHS,1,1,2024-03-10 11:04:24.719,2024-03-10 11:04:24.719,0
65ed93bcb6ec4550d193155d,,dbc365d9-2f4c-4183-a4df-58fd7981982c,High blood pressure (hypertension) - Symptoms & causes - Mayo ...,2,1,2024-03-10 11:04:28.844,2024-03-10 11:04:28.844,0
65ed93f1b6ec4550d193155f,WsAkANfJ91IJ,dbc365d9-2f4c-4183-a4df-58fd7981982c,High blood pressure (hypertension) - Causes - NHS,1,1,2024-03-10 11:05:21.551,2024-03-10 11:05:21.551,0
65ed93f8b6ec4550d1931561,woHuwkcrMb0J,dbc365d9-2f4c-4183-a4df-58fd7981982c,High Blood Pressure Symptoms and Causes | cdc.gov,3,1,2024-03-10 11:05:28.226,2024-03-10 11:05:28.226,0
65ed9413b6ec4550d1931563,J2r0ELKhavcJ,dbc365d9-2f4c-4183-a4df-58fd7981982c,What Causes High Blood Pressure? | National Kidney Foundation,2,2,2024-03-10 11:05:55.758,2024-03-10 11:05:55.758,0
65ed94aeb6ec4550d193156f,bPhM5ENQYrcJ,8b43324f-3d3b-44da-9de2-bca1334f7470,List of Top Ten Most Dangerous Ants in the World,2,1,2024-03-10 11:08:30.928,2024-03-10 11:08:30.928,0
65ed94c4b6ec4550d1931571,8RaY12MW8asJ,8b43324f-3d3b-44da-9de2-bca1334f7470,Top 5 Most Dangerous Poisonous Ant Bites for Humans,1,2,2024-03-10 11:08:52.181,2024-03-10 11:08:52.181,0
65ed961db6ec4550d1931585,xZ6CB-aQSFoJ,f4f26014-6ffb-4e45-8fe9-009395fd277f,Furnaces and Boilers | Department of Energy,1,1,2024-03-10 11:14:37.804,2024-03-10 11:14:37.804,0
65ed9628b6ec4550d1931587,oZyYWyZ98a4J,f4f26014-6ffb-4e45-8fe9-009395fd277f,What are the Pros and Cons of Hydrogen Fuel Cells? - TWI,5,1,2024-03-10 11:14:48.124,2024-03-10 11:14:48.124,0
65ed9638b6ec4550d1931589,99Q9bEdaPDIJ,f4f26014-6ffb-4e45-8fe9-009395fd277f,The Advantages and Disadvantages of Renewable Energy ...,3,3,2024-03-10 11:15:04.461,2024-03-10 11:15:04.461,0
65ed9645b6ec4550d193158d,WvquxDIksDwJ,f4f26014-6ffb-4e45-8fe9-009395fd277f,The Dark Side of Solar Power,1,1,2024-03-10 11:15:17.261,2024-03-10 11:15:17.261,0
65ed9651b6ec4550d193158f,md10YltjU7AJ,f4f26014-6ffb-4e45-8fe9-009395fd277f,Solar Energy: Benefits and Drawbacks,4,1,2024-03-10 11:15:29.911,2024-03-10 11:15:29.911,0
65ed96f3b6ec4550d1931593,DNDuuB7XFFQJ,f4f26014-6ffb-4e45-8fe9-009395fd277f,Fossil Fuels: The Dirty Facts,1,1,2024-03-10 11:18:11.211,2024-03-10 11:18:11.211,0
65ed99cadb0fdc3e4460d74c,TpreaBfGPgkJ,c82d84e9-e420-4bda-8a83-ec00e8c72025,"Causes of High Blood Pressure - Risk Factors: Weight, Diet, Age ...",7,1,2024-03-10 11:30:18.296,2024-03-10 11:30:18.296,0
65ed99ffdb0fdc3e4460d74e,eosLnlL9p1UJ,c82d84e9-e420-4bda-8a83-ec00e8c72025,What Causes High Blood Pressure? | University of Utah Health,7,3,2024-03-10 11:31:11.154,2024-03-10 11:31:11.154,0
65ed9a8fdb0fdc3e4460d75a,bPhM5ENQYrcJ,88d63e3d-8237-4e51-9da3-3dbc1c210798,List of Top Ten Most Dangerous Ants in the World,2,1,2024-03-10 11:33:35.194,2024-03-10 11:33:35.194,0
65ed9a9fdb0fdc3e4460d75c,pX5UHleJ1BwJ,88d63e3d-8237-4e51-9da3-3dbc1c210798,Blog - Top 8 Most Dangerous Ants Of All Time,1,1,2024-03-10 11:33:51.107,2024-03-10 11:33:51.107,0
65ed9aa6db0fdc3e4460d75e,8RaY12MW8asJ,88d63e3d-8237-4e51-9da3-3dbc1c210798,Top 5 Most Dangerous Poisonous Ant Bites for Humans,1,2,2024-03-10 11:33:58.252,2024-03-10 11:33:58.252,0
65ed9c07db0fdc3e4460d772,JFterFwuzeEJ,e2e51c24-0b7a-4a3e-b38a-e9a2ff994c37,"Fact Sheet | Climate, Environmental, and Health Impacts of Fossil ...",3,1,2024-03-10 11:39:51.072,2024-03-10 11:39:51.072,0
65ed9c0bdb0fdc3e4460d774,lK5ln5VzvRcJ,e2e51c24-0b7a-4a3e-b38a-e9a2ff994c37,8 reasons why we need to phase out the fossil fuel industry ...,7,1,2024-03-10 11:39:55.599,2024-03-10 11:39:55.599,0
65ed9c41db0fdc3e4460d776,,e2e51c24-0b7a-4a3e-b38a-e9a2ff994c37,Pollution from Fossil-Fuel Combustion is the Leading Environmental ...,1,3,2024-03-10 11:40:49.158,2024-03-10 11:40:49.158,0
65ed9c52db0fdc3e4460d778,Xc_WBudn9GUJ,e2e51c24-0b7a-4a3e-b38a-e9a2ff994c37,Fossil fuels - Our World in Data,1,2,2024-03-10 11:41:06.521,2024-03-10 11:41:06.521,0
65ed9c79db0fdc3e4460d77c,DNDuuB7XFFQJ,e2e51c24-0b7a-4a3e-b38a-e9a2ff994c37,Fossil Fuels: The Dirty Facts,5,1,2024-03-10 11:41:45.674,2024-03-10 11:41:45.674,0
65ed9c94db0fdc3e4460d780,fMQyypJ2W-4J,e2e51c24-0b7a-4a3e-b38a-e9a2ff994c37,Advantages & Disadvantages of Solar Energy | GreenMatch,6,1,2024-03-10 11:42:12.940,2024-03-10 11:42:12.940,0
